_id,nombre,email,contrasena,historialPedidos,tipoCuenta
67fc5500ccdccd648ad5b5c3,William Chaney,alexis65@example.com,!jG*VcXTg5,[],mesero
67fc5500ccdccd648ad5b5c8,Eric Cannon,taylortracey@example.org,))7pNyUS8U,[],administrador
67fc5500ccdccd648ad5b5cb,Michelle Paul,oliviawright@example.net,$gBIV7dw$1,[ObjectId('67fc5500ccdccd648ad5b5cc')],consultor
67fc5500ccdccd648ad5b5d1,Derrick Lloyd,danielmendez@example.net,Y##8JT37Ob,"[ObjectId('67fc5500ccdccd648ad5b5d3'), ObjectId('67fc5500ccdccd648ad5b5d2'), ObjectId('67fc5500ccdccd648ad5b5d4')]",mesero
67fc5500ccdccd648ad5b5d7,Devin Gordon,lopezcassandra@example.org,&BJDtcRa53,"[ObjectId('67fc5500ccdccd648ad5b5dc'), ObjectId('67fc5500ccdccd648ad5b5da'), ObjectId('67fc5500ccdccd648ad5b5d8')]",consultor
67fc5500ccdccd648ad5b5de,William Blanchard,nkelly@example.org,(h3QO@na!8,"[ObjectId('67fc5500ccdccd648ad5b5df'), ObjectId('67fc5500ccdccd648ad5b5e1')]",mesero
67fc5500ccdccd648ad5b5e4,Corey Moore,mark91@example.net,%%1#DhZBL5,[],mesero
67fc5500ccdccd648ad5b5e7,Joseph Clements,stevensrenee@example.com,5Mz4uPOmx_,[],consultor
67fc5500ccdccd648ad5b5ed,Linda Sloan,erinsheppard@example.net,_CYTx@d!h8,"[ObjectId('67fc5500ccdccd648ad5b5f0'), ObjectId('67fc5500ccdccd648ad5b5ef')]",cliente
67fc5500ccdccd648ad5b5f2,Crystal Smith,robert02@example.org,)3Ks9eMro^,[],mesero
67fc5500ccdccd648ad5b5f8,Ivan Sims,markritter@example.net,#b0P3PtjeM,"[ObjectId('67fc5500ccdccd648ad5b5fa'), ObjectId('67fc5500ccdccd648ad5b5f9')]",consultor
67fc5500ccdccd648ad5b5fc,Brian Sampson,hansonsteven@example.com,zJX_3MBtNj,[ObjectId('67fc5500ccdccd648ad5b600')],cliente
67fc5500ccdccd648ad5b603,Julie Owens,perkinskenneth@example.com,&!U1PVyPb3,"[ObjectId('67fc5500ccdccd648ad5b608'), ObjectId('67fc5500ccdccd648ad5b606')]",mesero
67fc5500ccdccd648ad5b60a,Emily Krause,rochakim@example.net,@7HJTY5)mZ,[],mesero
67fc5500ccdccd648ad5b60d,Kevin Nelson,gonzalezjohn@example.net,@@6j_HdziU,[],mesero
67fc5500ccdccd648ad5b610,Ashley Kelly,orozcocheryl@example.net,A@(63AkS5T,[],mesero
67fc5500ccdccd648ad5b613,Cassandra Shepherd,klinechristina@example.com,soH$Ki(x#9,[],cliente
67fc5500ccdccd648ad5b616,Evan Powell,stephenwatson@example.com,DdEvC0Dc#Y,"[ObjectId('67fc5500ccdccd648ad5b619'), ObjectId('67fc5500ccdccd648ad5b618'), ObjectId('67fc5500ccdccd648ad5b61a'), ObjectId('67fc5500ccdccd648ad5b617')]",mesero
67fc5500ccdccd648ad5b61c,Jennifer West,lhamilton@example.org,&Mn)G2XsOR,[],mesero
67fc5500ccdccd648ad5b623,Kevin Moses,christopher84@example.net,7dI5J(fg#k,"[ObjectId('67fc5500ccdccd648ad5b625'), ObjectId('67fc5500ccdccd648ad5b624')]",consultor
67fc5500ccdccd648ad5b628,Joseph Parks,michaelperez@example.com,Q_7LrC9pKE,"[ObjectId('67fc5500ccdccd648ad5b629'), ObjectId('67fc5500ccdccd648ad5b62a')]",administrador
67fc5500ccdccd648ad5b62e,Tracey Parker,samuelpugh@example.com,%5ITvy8A6m,[],consultor
67fc5500ccdccd648ad5b632,Cody Curtis,timothygibbs@example.net,(7XHjX5e^Q,[ObjectId('67fc5500ccdccd648ad5b633')],mesero
67fc5500ccdccd648ad5b635,Bradley Ramsey,gillespiechristine@example.org,Mr9r6J&l$i,[],cliente
67fc5500ccdccd648ad5b63c,Nina Wiley,kramernicholas@example.org,C7Md(msN+j,[],consultor
67fc5500ccdccd648ad5b641,Eric Atkinson,awilliams@example.com,Yn9(#4Lxr&,"[ObjectId('67fc5500ccdccd648ad5b643'), ObjectId('67fc5500ccdccd648ad5b642'), ObjectId('67fc5500ccdccd648ad5b644'), ObjectId('67fc5500ccdccd648ad5b645'), ObjectId('67fc5500ccdccd648ad5b646')]",administrador
67fc5500ccdccd648ad5b648,Jessica Armstrong,dwayne87@example.com,^fLVgm1+l6,"[ObjectId('67fc5500ccdccd648ad5b649'), ObjectId('67fc5500ccdccd648ad5b64d'), ObjectId('67fc5500ccdccd648ad5b64b'), ObjectId('67fc5500ccdccd648ad5b64a')]",mesero
67fc5500ccdccd648ad5b64f,Mark Davis,uchaney@example.net,XR2gMfb6$e,[],mesero
67fc5500ccdccd648ad5b652,Madison French,sarah07@example.com,7L9q0BSg$r,[ObjectId('67fc5500ccdccd648ad5b653')],mesero
67fc5500ccdccd648ad5b655,Latasha Higgins,laura78@example.com,n&4oIo@a(I,"[ObjectId('67fc5500ccdccd648ad5b659'), ObjectId('67fc5500ccdccd648ad5b657'), ObjectId('67fc5500ccdccd648ad5b658'), ObjectId('67fc5500ccdccd648ad5b65a'), ObjectId('67fc5500ccdccd648ad5b656')]",administrador
67fc5500ccdccd648ad5b65c,David Medina,heidijoseph@example.org,&9bPPtjQx8,"[ObjectId('67fc5500ccdccd648ad5b65e'), ObjectId('67fc5500ccdccd648ad5b65d')]",cliente
